filename,i,run_time,total_loss,content_loss,style_loss,learning_rate,iters,alpha,beta,noise_ratio,optimizer,new_width,pool_method,pool_stride,last_style_loss_layer_w,style_num_layers,content_layer_num
tubingen_starry_night_w300_i20_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time2.2.jpg,20,2.180005801,175116416,0.027105737,1751164.125,1,20,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w800_i20_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time3.7.jpg,20,3.704157043,82717304,0.003434612,827173.0625,1,20,1,100,0.1,lbfgs,800,avg,2,,5,4
tubingen_starry_night_w300_i0_lr0.001_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,0,0,11374963712,0.000295725,113749640,0.001,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr0.001_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,100,0,11166308352,0.000324637,111663088,0.001,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i200_lr0.001_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,200,0,10937532416,0.000393884,109375328,0.001,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i300_lr0.001_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,300,0,10694498304,0.00050728,106944984,0.001,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i400_lr0.001_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,400,0,10444564480,0.000660565,104445640,0.001,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i500_lr0.001_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.1.jpg,500,0.100393753,10444564480,0.000660565,104445640,0.001,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i0_lr0.1_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,0,0,11181684736,0.000320472,111816848,0.1,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr0.1_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,100,0,1876851968,0.014123387,18768520,0.1,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i200_lr0.1_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,200,0,850769088,0.018012371,8507691,0.1,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i300_lr0.1_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,300,0,549181888,0.020138599,5491819,0.1,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i400_lr0.1_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,400,0,412245312,0.021564053,4122453,0.1,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i500_lr0.1_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.1.jpg,500,0.100307832,412245312,0.021564053,4122453,0.1,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i0_lr2_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,0,0,8136562176,0.003264317,81365624,2,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr2_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,100,0,102909336,0.028247582,1029093.375,2,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i200_lr2_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,200,0,55047044,0.030351918,550470.4375,2,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i300_lr2_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,300,0,38361420,0.031571597,383614.1875,2,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i400_lr2_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,400,0,29294394,0.032460872,292943.9375,2,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i500_lr2_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.1.jpg,500,0.101106537,29294394,0.032460872,292943.9375,2,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i0_lr1000_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,0,0,1.22E+16,15.10663605,1.22232E+14,1000,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,100,0,1.25043E+12,0.121366501,12504285184,1000,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i200_lr1000_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,200,0,3.31517E+11,0.076847419,3315167488,1000,500,1,100,0.1,adam,300,avg,2,,5,4
tubingen_starry_night_w300_i300_lr1000_alpha1_beta100_nr0.1_adam_avg_ps2_sllw0.2_snl5_cln4_time0.0.jpg,300,0,1.57532E+11,0.062556349,1575316096,1000,500,1,100,0.1,adam,300,avg,2,,5,4
